,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
36,6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,709,2742,1
37,6572-ADKRS,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,803,3073,0
38,5380-WJKOV,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,1402,3074,1
39,8168-UQWWF,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,1239,202,1
40,8865-TNMNX,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,367,4024,0
41,9489-DEDVP,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,699,4118,0
42,9867-JCZSP,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,44,3572,0
43,4671-VJLCL,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,897,4105,0
44,4080-IIARD,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,831,6503,0
45,3714-NTNFO,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,985,3348,0
46,5948-UJZLF,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,361,6481,0
47,7760-OYPDY,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,913,809,1
48,7639-LIAYI,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,895,3599,0
49,2954-PIBKO,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,611,3625,0
50,8012-SOUDQ,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,1098,3285,0
51,9420-LOJKX,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,1263,789,1
52,6575-SUVOI,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,705,1275,0
53,7495-OOKFY,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,913,5113,1
54,4667-QONEA,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,804,3782,0
55,1658-BYGOY,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,1197,1274,1
56,8769-KKTPH,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,1274,5104,0
57,5067-XJQFU,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,1440,5555,0
58,3957-SQXML,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,91,6314,0
59,5954-BDFSG,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,1423,5937,0
60,0434-CSFON,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,1291,3985,0
61,1215-FIGMP,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,1091,4530,0
62,0526-SXDJP,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,265,2558,0
63,0557-ASKVU,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,447,6459,0
64,5698-BQJOH,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,1176,6234,1
65,5122-CYFXA,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,813,2086,0
66,8627-ZYGSZ,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,878,3157,0
67,3410-YOQBQ,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,884,2143,0
68,3170-NMYVV,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,32,6399,0
69,7410-OIEDU,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,897,6290,0
70,2273-QCKXA,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,357,4137,0
71,0731-EBJQB,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,37,181,0
72,1891-QRQSA,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,1498,5563,0
73,8028-PNXHQ,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,77,785,0
74,5630-AHZIL,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,618,1295,0
75,2673-CXQEU,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,1478,5009,0
76,6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,472,2339,0
77,5590-ZSKRV,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,452,4071,0
78,0191-ZHSKZ,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,802,1742,0
79,3887-PBQAO,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,110,397,0
80,5919-TMRGD,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,887,5966,1
81,8108-UXRQN,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,387,4676,0
82,9191-MYQKX,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,810,4199,1
83,9919-YLNNG,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,1351,3682,0
84,0318-ZOPWS,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,32,6491,0
85,4445-ZJNMU,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,1267,6364,0
86,4808-YNLEU,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,583,1852,0
87,1862-QRWPE,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,42,108,0
88,2796-NNUFI,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,28,6382,0
89,3016-KSVCP,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,173,19,0
90,4767-HZZHQ,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,941,2229,0
91,2424-WVHPL,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,801,5723,0
92,7233-PAHHL,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,975,4717,0
93,6067-NGCEU,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,1487,5575,0
94,9848-JQJTX,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,1299,5751,0
95,8637-XJIVR,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,879,6384,1
96,9803-FTJCG,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,662,4018,0
97,0278-YXOOG,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,50,252,1
98,3212-KXOCR,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,49,203,0
99,4598-XLKNJ,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,1252,2175,1
100,6380-ARCEH,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,33,1610,0
101,3679-XASPY,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,18,1483,0
102,7123-WQUHX,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,1188,3122,0
103,5386-THSLQ,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,316,2630,0
104,3192-NQECA,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,1469,5833,1
105,6180-YBIQI,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,78,1,0
106,6728-DKUCO,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,1358,5672,0
107,9750-BOOHV,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,147,6385,0
108,8597-CWYHH,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,1175,3358,0
109,2848-YXSMW,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,17,658,0
110,0486-HECZI,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,1222,4391,1
111,4549-ZDQYY,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,508,2642,0
112,5712-AHQNN,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,1126,3380,0
113,4846-WHAFZ,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,837,2475,1
114,5256-SKJGO,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,451,2967,0
115,3071-VBYPO,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,1090,2128,0
116,9560-BBZXK,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,161,240,0
117,5299-RULOA,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,1286,124,1
118,8402-OOOHJ,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,42,6160,0
119,9445-ZUEQE,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,999,1769,0
120,1091-SOZGA,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,1277,4581,0
121,2928-HLDBA,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,43,230,0
122,0404-SWRVG,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,795,1931,1
123,6497-TILVL,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,390,3039,0
124,7219-TLZHO,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,46,5043,0
125,4622-YNKIJ,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,1072,2632,0
126,4412-YLTKF,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,861,1755,1
127,6734-PSBAW,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,64,1228,0
128,3930-ZGWVE,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,24,1489,0
129,2639-UGMAZ,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,488,3403,0
130,2876-GZYZC,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,1014,394,0
131,6207-WIOLX,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,517,912,1
132,8587-XYZSF,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,387,2837,0
133,3091-FYHKI,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,198,3032,1
134,2372-HWUHI,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,292,6058,1
135,7799-LGRDP,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,106,348,0
136,7850-VWJUU,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,807,1304,0
137,3774-VBNXY,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,33,510,0
138,6217-KDYWC,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,21,319,0
139,0390-DCFDQ,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,724,5510,1
140,3146-MSEGF,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,1054,5173,0
141,4080-OGPJL,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,738,4664,1
142,1095-WGNGG,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,1302,4894,0
143,2636-SJDOU,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,981,4419,0
144,1131-QQZEB,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,71,1278,0
145,5716-EZXZN,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,1262,5168,0
146,6837-BJYDQ,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,21,4983,0
147,2135-RXIHG,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,318,3821,1
148,6440-DKQGE,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,618,1528,0
149,3466-BYAVD,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,705,141,0
150,3780-YVMFA,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,686,4669,0
151,3874-EQOEP,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,1188,5236,1
152,1679-JRFBR,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,1434,5988,0
153,9073-ZZIAY,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,1017,4370,0
154,3077-RSNTJ,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,23,250,0
155,6551-GNYDG,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,918,290,0
156,9167-APMXZ,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,978,1378,0
157,2749-CTKAJ,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,32,3583,0
158,6371-NZYEG,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,613,51,0
159,7554-NEWDD,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,106,2166,0
160,8992-VONJD,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,479,5845,0
161,0867-MKZVY,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,946,1047,1
162,4482-EWFMI,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,709,639,0
163,4648-YPBTM,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,785,3383,0
164,2907-ILJBN,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,41,1966,0
165,6345-FZOQH,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,27,659,0
166,3376-BMGFE,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,733,2373,1
167,5997-OPVFA,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,1074,5071,0
168,3445-HXXGF,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,311,2300,1
169,1159-WFSGR,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,37,2790,0
170,7654-YWJUF,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,980,3064,0
171,1875-QIVME,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,1363,2066,1
172,6727-IOTLZ,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,939,339,0
173,0691-JVSYA,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,1185,4239,1
174,5918-VUKWP,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,40,5230,0
175,1744-JHKYS,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,86,5917,0
176,2656-FMOKZ,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,796,277,1
177,2070-FNEXE,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,836,4260,1
178,5947-SGKCL,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,1382,1001,0
179,3712-PKXZA,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,40,459,0
180,6317-YPKDH,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,144,2507,1
181,6582-OIVSP,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,311,3816,0
182,9367-WXLCH,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,985,5278,1
183,5524-KHNJP,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,802,2104,0
184,1918-ZBFQJ,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,885,216,1
185,1024-GUALD,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,88,2044,1
186,4827-USJHP,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,412,48,0
187,8167-GJLRN,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,152,6099,0
188,0956-SYCWG,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,22,2090,0
189,8017-UVSZU,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,491,2015,0
190,7100-FQPRV,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,752,2757,0
191,2472-OVKUP,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,1113,4440,1
192,2984-RGEYA,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,24,678,0
193,9680-NIAUV,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,1463,6076,0
194,2146-EGVDT,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,15,359,0
195,2604-IJPDU,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,1218,1502,0
196,9178-JHUVJ,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,74,4822,0
197,6168-YBYNP,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,1493,5218,0
198,7255-SSFBC,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,1506,6038,0
199,3645-DEYGF,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,44,1621,0
200,9323-HGFWY,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,1317,2333,0
201,8544-GOQSH,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,901,218,0
202,3363-DTIVD,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,1386,5730,0
203,7018-WBJNK,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,866,72,0
204,9142-KZXOP,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,692,2552,0
205,7674-YTAFD,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,899,2336,0
206,6348-SNFUS,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,468,3571,0
207,1285-OKIPP,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,898,5974,1
208,7825-ECJRF,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,1407,1536,1
209,1347-KTTTA,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,1326,5291,0
210,7841-TZDMQ,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,325,6174,1
211,4195-NZGTA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,97,2152,0
212,7157-SMCFK,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,24,237,0
213,4709-LKHYG,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,29,4493,0
214,2504-DSHIH,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,1031,1580,0
215,0699-NDKJM,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,520,2976,0
216,9286-BHDQG,1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,310,2727,0
217,0230-WEQUW,1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,491,3250,0
218,2040-LDIWQ,1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,979,4450,0
219,6496-JDSSB,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,900,5063,0
220,9408-SSNVZ,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,718,2329,1
221,4443-EMBNA,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,87,1390,0
222,6469-MRVET,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,33,1610,0
223,0742-MOABM,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,377,1326,1
224,5961-VUSRV,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,16,1807,0
225,6778-JFCMK,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,388,525,0
226,6341-JVQGF,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,923,2198,0
227,2232-DMLXU,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,463,4560,1
228,4811-JBUVU,1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,1091,2365,0
229,0945-TSONX,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,1001,3495,0
230,2651-ZCBXV,1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,1431,4756,0
231,3316-UWXUY,1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,1158,4015,0
232,8937-RDTHP,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,987,6175,1
233,7083-MIOPC,0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,34,1016,0
234,1984-GPTEH,0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,95,5529,0
235,1251-KRREG,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,447,269,1
236,0621-JFHOL,0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,137,2583,0
237,9903-LYSAB,1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,771,561,0
238,0094-OIFMO,0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,1188,231,1
239,9227-UAQFT,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,24,2456,0
240,7301-ABVAD,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,1027,5128,0
241,6614-FHDBO,1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,1454,5946,0
242,7576-ASEJU,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,801,2771,0
243,9058-HRZSV,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,1176,4999,0
244,4522-AKYLR,0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,455,5674,0
245,0221-WMXNQ,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,814,2376,0
246,0303-UNCIP,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,628,2187,0
247,9947-OTFQU,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,795,146,1
248,0322-YINQP,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,347,4051,1
249,0959-WHOKV,1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,1261,3653,0
250,4075-JFPGR,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,1158,3921,0
251,4629-NRXKX,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,723,864,1
252,9514-JDSKI,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,246,3414,1
253,3282-ZISZV,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,969,2280,0
254,3675-YDUPJ,1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,26,1529,0
255,4111-BNXIF,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,534,3494,0
256,7017-VFHAY,0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,1547,5524,0
257,6655-LHBYW,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,1534,4775,0
258,4959-JOSRX,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,297,6021,1
259,5046-NUHWD,0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,305,416,0
260,7273-TEFQD,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,260,583,1
261,3606-TWKGI,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,1413,660,1
262,7529-ZDFXI,1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,1090,4178,0
